TEST_NAME_ABBREVIATION	stringdist_group_id	position_in_group	group_size
b-tntp	1	88	136
b-tp53-d	1	89	136
b-tpmt-d	1	90	136
b-varfa-d	1	91	136
b-vervi1	1	92	136
b-vervi2	1	93	136
b-xveri	1	94	136
b-ykrom-d	1	95	136
bl-bal	1	96	136
bl-bal-1	1	97	136
bl-balfc	1	98	136
bm-aso-qd	1	99	136
bm-aso2-qd	1	100	136
bm-aspir	1	101	136
bm-bcr-qr	1	102	136
bm-blapcr	1	103	136
bm-bpvalm	1	104	136
bm-fish	1	105	136
bm-fish-mm	1	106	136
bm-fish2	1	107	136
bm-fishhem	1	108	136
bm-fishmm	1	109	136
bm-fishvar	1	110	136
bm-flt3-d	1	111	136
bm-fuus-mr	1	112	136
bm-fuus-qr	1	113	136
bm-mgg	1	114	136
bm-mggfe	1	115	136
bm-mm-ift	1	116	136
bm-mmpcr	1	117	136
bm-morflkl	1	118	136
bm-mrd-all	1	119	136
bm-mrd-vs	1	120	136
bm-mrdmut	1	121	136
bm-npm1-qd	1	122	136
bm-resid	1	123	136
botnia	1	124	136
e-cdw	1	125	136
e-fragm	1	126	136
e-rdv	1	127	136
e-rdw	1	128	136
e-rdw(ko)	1	129	136
e-rdw␤	1	130	136
e-rethe	1	131	136
e-retik	1	132	136
e-rh-ty	1	133	136
e-vr-ty	1	134	136
e-vrtark	1	135	136
vb-temp	1	136	136
-diffi	2	1	67
-fidd-vt	2	2	67
ab-bio-0	2	3	67
afer-diffi	2	4	67
as-diffi	2	5	67
b-bio-0	2	6	67
b-biomam	2	7	67
b-biomamd	2	8	67
b-cd34-fc	2	9	67
b-diff	2	10	67
b-diff-mik	2	11	67
b-diffi	2	12	67
b-diffi-k	2	13	67
b-diffi-kd	2	14	67
b-diffi-m	2	15	67
b-diffi-o	2	16	67
b-diffihy	2	17	67
b-diffik	2	18	67
b-diffim	2	19	67
b-diffmik	2	20	67
b-difftark	2	21	67
b-diflave	2	22	67
b-difmorf	2	23	67
b-fidd	2	24	67
b-fidd-o	2	25	67
b-fidd-pt	2	26	67
b-fidd-vt	2	27	67
b-fiddp	2	28	67
b-lydiff	2	29	67
b-lydiff-t	2	30	67
b-lydikll	2	31	67
b-lytbifn	2	32	67
b-smb-fc	2	33	67
b-tbifng	2	34	67
b-tdif-fc	2	35	67
bm-biopsia	2	36	67
bm-lydikll	2	37	67
bu-diffi	2	38	67
hc-diffi	2	39	67
li-diffi	2	40	67
p-bil-kj	2	41	67
p-bil-lap	2	42	67
p-bil-vt	2	43	67
p-bilit	2	44	67
p-fidd	2	45	67
p-fidd,tk	2	46	67
p-fidd-hy	2	47	67
p-fidd-lb	2	48	67
p-fidd-o	2	49	67
p-fidd-vt	2	50	67
p-fiddpik	2	51	67
p-fimo-o	2	52	67
p-tkfiddo	2	53	67
pd-diffi	2	54	67
pf-diffi	2	55	67
pt-biomam	2	56	67
pt-biop	2	57	67
pt-biops-l	2	58	67
s-bil-kj	2	59	67
s-biomam	2	60	67
se-diffi	2	61	67
sy-diffi	2	62	67
u-bil-o	2	63	67
u-bld-o	2	64	67
u-blod-0	2	65	67
u-diffi	2	66	67
u.-bil-o	2	67	67
-activi	3	1	108
-amebvr	3	2	108
-caauvi	3	3	108
-cand-vi	3	4	108
-candvi	3	5	108
-em-bl	3	6	108
-ervr	3	7	108
-esblvi	3	8	108
-gcvi	3	9	108
-hsvpvi	3	10	108
-hsvvi	3	11	108
-hygvi	3	12	108
-ifkuvio	3	13	108
-inaagvt	3	14	108
-inbagvt	3	15	108
-ircagvt	3	16	108
-kat-vi	3	17	108
-mdrsjvi	3	18	108
-mdrsvi	3	19	108
-mrsajvi	3	20	108
-mrsavi	3	21	108
-mrsavine	3	22	108
-mrsavini	3	23	108
-mrsrivi	3	24	108
-nocavi	3	25	108
-palovvi	3	26	108
-psvs	3	27	108
-respvt	3	28	108
-rsv	3	29	108
-rsvagvt	3	30	108
-rsvvt	3	31	108
-sien-vi	3	32	108
-sien-vr	3	33	108
-sienlm	3	34	108
-sienna	3	35	108
-sienvi	3	36	108
-sienvr	3	37	108
-staupvl	3	38	108
-stauvi	3	39	108
-straag-vt	3	40	108
-strag	3	41	108
-strjvi	3	42	108
-strvi	3	43	108
-tbevi	3	44	108
-tbpvr	3	45	108
-tbvi	3	46	108
-tbvivr	3	47	108
-tbvr	3	48	108
-tbvrvi	3	49	108
-trvaag	3	50	108
-vi	3	51	108
-virvi	3	52	108
-vrevi	3	53	108
-väri	3	54	108
1.savuk	3	55	108
b-sienvi	3	56	108
b-tbevi	3	57	108
candvi	3	58	108
ex-sienvi	3	59	108
ex-tbvi	3	60	108
ex-tbvivr	3	61	108
ex-tbvr	3	62	108
ex-tbvrvi	3	63	108
f-aurvi	3	64	108
f-bacevi	3	65	108
f-camp-vi	3	66	108
f-campvi	3	67	108
f-cereuvi	3	68	108
f-clpevi	3	69	108
f-salm-vi	3	70	108
f-salmvi	3	71	108
f-shigvi	3	72	108
f-stafvi	3	73	108
fl-candvi	3	74	108
hsvpvi	3	75	108
l-sauv	3	76	108
l-sauva	3	77	108
l-sauvat	3	78	108
mm-hygvi	3	79	108
mrsavi	3	80	108
ns-mrsavi	3	81	108
ns-staurvi	3	82	108
ps-mrsavi	3	83	108
pu-sienvi	3	84	108
rasvat	3	85	108
resgnsvi	3	86	108
rsv	3	87	108
sc-hygvi	3	88	108
sien-vi	3	89	108
sienvi	3	90	108
sienvr	3	91	108
sk-mrsavi	3	92	108
sk-sien-vi	3	93	108
sk-sienivi	3	94	108
sk-sienvi	3	95	108
straag	3	96	108
straag-o	3	97	108
straag-vt	3	98	108
strvi	3	99	108
tbvi	3	100	108
tbvr	3	101	108
tbvrvi	3	102	108
u-mrsavi	3	103	108
u-tbvi	3	104	108
veri	3	105	108
vi	3	106	108
vre-vi	3	107	108
vrevi	3	108	108
-aerobivi	4	1	114
-anaerobi	4	2	114
-kiiretutk	4	3	114
-llajitt	4	4	114
-mesillinaami	4	5	114
-neuvola1	4	6	114
-omactgc	4	7	114
-ro52(ssa)	4	8	114
-ro52ssa	4	9	114
adenovirus	4	10	114
afosluusto	4	11	114
afosmaksa1	4	12	114
afosmaksa2	4	13	114
afossuoli	4	14	114
alkopuhall	4	15	114
amoxycilli	4	16	114
annosvoim	4	17	114
askivuosia	4	18	114
astrivirus	4	19	114
b-koboltti	4	20	114
bio-nla-b	4	21	114
bio-nla-p	4	22	114
bio-nla-s	4	23	114
bioctdna	4	24	114
bioneuvola	4	25	114
biopctdna	4	26	114
biopdna	4	27	114
biopplasma	4	28	114
biopseerum	4	29	114
cand-odl.	4	30	114
cand.nativ	4	31	114
cladosp.he	4	32	114
corona229e	4	33	114
coronahku1	4	34	114
coronanl63	4	35	114
coronaoc43	4	36	114
crl-mitta	4	37	114
diabetes	4	38	114
diabetes-p	4	39	114
dialysointiteho	4	40	114
digiekgmak	4	41	114
eivoitu	4	42	114
erisopimus	4	43	114
f-norogi	4	44	114
f-norogii	4	45	114
f-projekti	4	46	114
fibrillar	4	47	114
globuliini	4	48	114
gluteeni	4	49	114
hpvpapctgc	4	50	114
hpvrefctgc	4	51	114
igekissa	4	52	114
igekoira	4	53	114
igekoivu	4	54	114
ihopisto	4	55	114
infavirus	4	56	114
infbvirus	4	57	114
inr/hoito	4	58	114
kiirelisä	4	59	114
kiirgenlab	4	60	114
koira,hils	4	61	114
kokaiini	4	62	114
kol.kvot	4	63	114
kroon.inf.	4	64	114
levofloxac	4	65	114
mecillinam	4	66	114
mesillin	4	67	114
nakglupika	4	68	114
neuvola1	4	69	114
neuvolanäy	4	70	114
nitrofur	4	71	114
nitrofuran	4	72	114
norfloksas	4	73	114
norfloxaci	4	74	114
norogi	4	75	114
norogii	4	76	114
norovirus	4	77	114
p-asetoni	4	78	114
p-uraatti	4	79	114
pad2luomea	4	80	114
paksupisar	4	81	114
projekti1	4	82	114
provtagnin	4	83	114
psa-v/psa	4	84	114
rin/entnho	4	85	114
rinoentero	4	86	114
ro52(ssa)	4	87	114
s-asetoni	4	88	114
s-fibrilla	4	89	114
s-timospe	4	90	114
s-timotee	4	91	114
s-uraatti	4	92	114
s-valproaatti	4	93	114
sitrver3.8	4	94	114
til.yks.	4	95	114
timotee	4	96	114
timotei	4	97	114
toimitusdg	4	98	114
trhicl-na	4	99	114
trich.nat.	4	100	114
trimethop	4	101	114
trimetop	4	102	114
trimetopri	4	103	114
ts-abortti	4	104	114
u-omactgc	4	105	114
uraatti	4	106	114
veri-toim	4	107	114
veriryh+va	4	108	114
vieri-crp	4	109	114
vieri-inr	4	110	114
virtaus	4	111	114
virtsam.	4	112	114
virtsamärä?	4	113	114
virtsamäärä	4	114	114
-agglut	5	1	123
-alk-sul	5	2	123
-eiaikaa	5	3	123
-eos	5	4	123
-hdl/kol	5	5	123
-hdl/kol.	5	6	123
-kefaleksiimi	5	7	123
-kefuroksiimi	5	8	123
-lab-läh	5	9	123
-labkulj	5	10	123
-labtutk	5	11	123
-liik.im	5	12	123
-liik.np	5	13	123
-liik.pr	5	14	123
-liikk.a	5	15	123
-liikk.b	5	16	123
-liikk.c	5	17	123
-liikk.d	5	18	123
-patlis2	5	19	123
-pes.jäl	5	20	123
-pes.til	5	21	123
-punavs2	5	22	123
-pyör.s.	5	23	123
-tb-lh	5	24	123
-tilav.	5	25	123
-tunnist	5	26	123
afer-cd34	5	27	123
afer-hkr	5	28	123
afer-leuk	5	29	123
afer-leukt	5	30	123
afer-mns	5	31	123
afer-mnst	5	32	123
afer-trom	5	33	123
as-eos	5	34	123
auditkysely	5	35	123
b-agalak	5	36	123
b-eos	5	37	123
b-eosin	5	38	123
b-eos␤	5	39	123
b-hlakeli	5	40	123
b-sively	5	41	123
b.pertus	5	42	123
bentsod	5	43	123
bf-eos	5	44	123
bpdna-os	5	45	123
bpplasm-os	5	46	123
bpserum-os	5	47	123
cu-tilav	5	48	123
d.pteronys	5	49	123
di-eos	5	50	123
dna-läh	5	51	123
dpteroe	5	52	123
du-sitraat	5	53	123
du-tilav	5	54	123
du-tilavu	5	55	123
eosin	5	56	123
eso-pai	5	57	123
esozpa	5	58	123
ex-eos	5	59	123
fentanyyli	5	60	123
fertil.sel	5	61	123
globul	5	62	123
hb(nla)	5	63	123
hdl/kol	5	64	123
hdl/kol.	5	65	123
hengalp	5	66	123
histamp	5	67	123
hitachi	5	68	123
hyytlaus	5	69	123
igakeli	5	70	123
kefaleks	5	71	123
kefuksoks	5	72	123
kefuroks	5	73	123
kol-hdl/kol	5	74	123
kol/hdl	5	75	123
kol/hdl-su	5	76	123
kol/hdlsuh	5	77	123
käsittely	5	78	123
l-eos	5	79	123
l-eos-hy	5	80	123
l-eos-kd	5	81	123
l-eos-m	5	82	123
l-eosin	5	83	123
li-eos	5	84	123
mediscrn	5	85	123
mna-lyhyt	5	86	123
muut,3-osa	5	87	123
muuthav.	5	88	123
muuttutk	5	89	123
ns-eos	5	90	123
p-etanoli	5	91	123
pd-eos	5	92	123
penicilg	5	93	123
penicilv	5	94	123
perus-s	5	95	123
pf-eos	5	96	123
pituus	5	97	123
pituus(cm)	5	98	123
pt-pituus	5	99	123
pt-pulssi	5	100	123
pulssi	5	101	123
s-dpteroe	5	102	123
s-gglobul	5	103	123
s-igakeli	5	104	123
sensori	5	105	123
snabb-crp	5	106	123
snabb-inr	5	107	123
sy-eos	5	108	123
testo/shbg	5	109	123
ts-fish	5	110	123
ts-lisähis	5	111	123
tu-fish	5	112	123
tunnistus	5	113	123
työteli1	5	114	123
työteli5	5	115	123
työtepe	5	116	123
u-stix-vt	5	117	123
vagicul	5	118	123
vehnä,ruok	5	119	123
vekapak1	5	120	123
vekapak4	5	121	123
xxeos	5	122	123
yersinia	5	123	123
alvhuumott	6	1	25
bm-notto	6	2	25
gyn.notto	6	3	25
huumn.otto	6	4	25
n-otto	6	5	25
n.otto	6	6	25
notto	6	7	25
notto,neuv	6	8	25
notto,tyks	6	9	25
notto/eris	6	10	25
nottocovid	6	11	25
nottopkl	6	12	25
nottoverikoe	6	13	25
näyt.käsit	6	14	25
näyt.ot-1	6	15	25
näyt.ot.	6	16	25
näyt.otto	6	17	25
näytekulje	6	18	25
näytt.otto	6	19	25
näytteenot	6	20	25
näytteenotto	6	21	25
ottotapa	6	22	25
u-ottotap	6	23	25
u-tutk/ottotapa	6	24	25
valv.notto	6	25	25
-bakt-he	7	1	62
-bakt-lm	7	2	62
-baktvi	7	3	62
-baktvr	7	4	62
af-baktvi	7	5	62
as-baktvr	7	6	62
b-bakt-vi	7	7	62
b-baktjvi	7	8	62
b-baktsvi	7	9	62
b-baktvi	7	10	62
b-baktvi.	7	11	62
b-baktvij	7	12	62
bakteerit	7	13	62
baktlm	7	14	62
baktvr	7	15	62
bl-baktvi	7	16	62
bo-baktvi	7	17	62
ca-baktvi	7	18	62
d-baktvi	7	19	62
ex-baktvi	7	20	62
ex-baktvr	7	21	62
f-baktjvi	7	22	62
f-baktvi1	7	23	62
f-baktvi2	7	24	62
f-baktvi3	7	25	62
f-baktvip	7	26	62
fl-baktna	7	27	62
fl-baktvr	7	28	62
li-baktvi	7	29	62
li-baktvr	7	30	62
pd-baktvi	7	31	62
pf-baktvr	7	32	62
pp-baktnh	7	33	62
ps-baktvi	7	34	62
pu-baktvi1	7	35	62
pu-baktvi2	7	36	62
sy-baktvr	7	37	62
u-bact	7	38	62
u-bakt	7	39	62
u-bakt-vi	7	40	62
u-bakt.	7	41	62
u-baktalv	7	42	62
u-baktb	7	43	62
u-baktbv	7	44	62
u-bakteeri	7	45	62
u-bakteerit	7	46	62
u-baktevi	7	47	62
u-baktjvi	7	48	62
u-baktjvi.	7	49	62
u-baktla	7	50	62
u-baktlm	7	51	62
u-baktnim	7	52	62
u-bakts	7	53	62
u-baktseu	7	54	62
u-baktsjvi	7	55	62
u-bakttun	7	56	62
u-baktv	7	57	62
u-baktvi	7	58	62
u-baktvi/	7	59	62
u-baktvi/oma	7	60	62
u-baktvi2	7	61	62
u-baktvtk	7	62	62
-baso	8	1	83
-listvi	8	2	83
-lisäma1	8	3	83
-lähete	8	4	83
b-bas	8	5	83
b-baso	8	6	83
b-basof	8	7	83
b-erblas	8	8	83
b-erblast	8	9	83
b-lasko	8	10	83
b-plas-o	8	11	83
b-plas-p	8	12	83
baso	8	13	83
basof	8	14	83
blankko	8	15	83
blasti	8	16	83
blastit	8	17	83
e-plas-o	8	18	83
erblast	8	19	83
esat-6	8	20	83
f-elast1	8	21	83
f-uloste	8	22	83
gastro	8	23	83
l-bas	8	24	83
l-baso	8	25	83
l-baso-hy	8	26	83
l-baso-kd	8	27	83
l-baso-m	8	28	83
l-basof	8	29	83
l-bla	8	30	83
l-blas-m	8	31	83
l-blast	8	32	83
l-blast-m	8	33	83
l-blasti	8	34	83
l-blastit	8	35	83
l-blastit␤	8	36	83
l-erblast	8	37	83
lasko	8	38	83
laushetr	8	39	83
li-/s-alb	8	40	83
li-ace	8	41	83
li-ada	8	42	83
li-alb	8	43	83
li-alz	8	44	83
li-alzheim	8	45	83
li-ba42/40	8	46	83
li-bam40	8	47	83
li-bam42	8	48	83
li-blastit	8	49	83
li-cnab	8	50	83
li-cxcl13	8	51	83
li-fostau	8	52	83
li-igg	8	53	83
li-igg-ind	8	54	83
li-igg-oc	8	55	83
li-igg.	8	56	83
li-igg/alb	8	57	83
li-kkab	8	58	83
li-spektri	8	59	83
li-tau	8	60	83
lisälaus	8	61	83
lisäpyyntö	8	62	83
lisäpyyntö␤	8	63	83
lisätutkim	8	64	83
lisäv2	8	65	83
lisävast	8	66	83
lisävast2	8	67	83
lisävast3	8	68	83
ly-bsc-fc	8	69	83
ly-hla	8	70	83
ly-hlab27	8	71	83
ly-tbspota	8	72	83
ly-tbspotb	8	73	83
ly-tbspppd	8	74	83
ly-tsc-fc	8	75	83
lähetys	8	76	83
nlaatu	8	77	83
p-alko	8	78	83
pt-lähetys	8	79	83
pvlisäm	8	80	83
s-alko	8	81	83
vb-hblask	8	82	83
xxbaso	8	83	83
-c19agvt	9	1	108
-covidjt	9	2	108
-crp-o	9	3	108
-cv19ag	9	4	108
-cv19ag0	9	5	108
-cv19ag1	9	6	108
-cv19ag2	9	7	108
-cv19ag3	9	8	108
-cv19ag4	9	9	108
-cv19ag5	9	10	108
-cv19agj	9	11	108
-cv19agl	9	12	108
-cv19nho	9	13	108
-cv19pika	9	14	108
-cv19vt	9	15	108
-cyp2b6	9	16	108
-cyp2c19	9	17	108
-cyp2c9	9	18	108
-cyp2d6	9	19	108
-cyp3a5	9	20	108
-cyp4f2	9	21	108
-hcgbsuh	9	22	108
b-ckmbmv	9	23	108
b-crp-0	9	24	108
b-crp-o	9	25	108
b-crp-os	9	26	108
b-crp-poc	9	27	108
b-crp-pt	9	28	108
b-crp-tth	9	29	108
b-crp-v	9	30	108
b-crp-vt	9	31	108
b-cv19ab-o	9	32	108
b-cv19abg	9	33	108
b-cv19abm	9	34	108
b-cyp2c19	9	35	108
b-cyp2d6	9	36	108
cb-crp(qr)	9	37	108
cldinho	9	38	108
covid-19aghoi	9	39	108
cp-crp-hy	9	40	108
cp-crp-lb	9	41	108
cv19ag	9	42	108
cv19infrs	9	43	108
cv19nho	9	44	108
cv19nhopth	9	45	108
cv19sekv	9	46	108
fp-c-pept	9	47	108
fs-c-pept	9	48	108
fs-jc-pept	9	49	108
oma-covid-o	9	50	108
p-c-pept	9	51	108
p-c-pepta	9	52	108
p-c-peptidi	9	53	108
p-c1inh	9	54	108
p-c1inhbk	9	55	108
p-c1qabg	9	56	108
p-ca12-5	9	57	108
p-ca15-3	9	58	108
p-ca19-9	9	59	108
p-ck-mb	9	60	108
p-ck-mbm	9	61	108
p-ckmbm	9	62	108
p-crp-hoi	9	63	108
p-crp-hy	9	64	108
p-crp-o	9	65	108
p-crp-oma	9	66	108
p-crp-p	9	67	108
p-crp-poc	9	68	108
p-crp-päi	9	69	108
p-crp-vt	9	70	108
p-crphoi	9	71	108
p-crpos	9	72	108
p-hcg-tot	9	73	108
pika-covid-19ag	9	74	108
s-c-pep-a	9	75	108
s-c-pept	9	76	108
s-c1inh	9	77	108
s-c1inhbk	9	78	108
s-ca12-5	9	79	108
s-ca15-3	9	80	108
s-ca19-9	9	81	108
s-ch100	9	82	108
s-ch100al	9	83	108
s-ch100cl	9	84	108
s-ch100l	9	85	108
s-ch100mbl	9	86	108
s-ck-bb	9	87	108
s-ck-mb	9	88	108
s-ck-mm	9	89	108
s-crp-o	9	90	108
s-cv19ab	9	91	108
s-cv19aba	9	92	108
s-cv19abg	9	93	108
s-cv19abm	9	94	108
s-cv19abp	9	95	108
s-cv19sab	9	96	108
s-hcg-b	9	97	108
s-hcg-b-v	9	98	108
s-hcg-b/d	9	99	108
s-hcg-o	9	100	108
s-hcg-tot	9	101	108
s-hcgbsuh	9	102	108
s-hcgbv	9	103	108
s-hcgbv/d	9	104	108
s-hcgbvtr	9	105	108
s-hcgxmom	9	106	108
u-hcg-o	9	107	108
u-hcgo-lb	9	108	108
-crp-pika	10	1	82
-crppika	10	2	82
b-crp-pik	10	3	82
b-crp-pika	10	4	82
b-ghba1c/pika	10	5	82
b-ghbpika	10	6	82
b-gluk-pika	10	7	82
b-gluk/pika	10	8	82
b-hb-pika	10	9	82
b-hb/pika	10	10	82
b-hba1c/pika	10	11	82
b-hbpika	10	12	82
b-keto/pik	10	13	82
b-leuk-pika	10	14	82
b-leupika	10	15	82
b-napika	10	16	82
b-tnipika	10	17	82
b-tnt-o-pika	10	18	82
b-tnt-pika	10	19	82
b-tnt/pik	10	20	82
b-tnt/pika	10	21	82
c-ancapika	10	22	82
ca-ionpika	10	23	82
cb-bepika	10	24	82
cb-phpika	10	25	82
cbhco3pika	10	26	82
cbpco2pika	10	27	82
cbpo2pika	10	28	82
crp-pika	10	29	82
crphbpika	10	30	82
crppika	10	31	82
ghbpika	10	32	82
gluk-pika	10	33	82
glukpika	10	34	82
hb-pika	10	35	82
hba1c-pika	10	36	82
hba1cpika	10	37	82
hbpika	10	38	82
hema-pika	10	39	82
inr-pika	10	40	82
inrpika	10	41	82
k-pika	10	42	82
kpika	10	43	82
krea-pika	10	44	82
kreapika	10	45	82
laktpika	10	46	82
leuk-pika	10	47	82
leukpika	10	48	82
na-pika	10	49	82
napika	10	50	82
p-ancapika	10	51	82
p-aptaika	10	52	82
p-crp/pik	10	53	82
p-crp/pika	10	54	82
p-crppika	10	55	82
p-kpika	10	56	82
p-napika	10	57	82
p-pctpika	10	58	82
p-proaika	10	59	82
p-tnt/pik	10	60	82
p-tnt/pika	10	61	82
p-tntpika	10	62	82
p-traika	10	63	82
rakkoaika	10	64	82
ras.aika	10	65	82
tnlpika	10	66	82
tropopika	10	67	82
ts-ihpika	10	68	82
u-eryt-pika	10	69	82
u-gluk-pika	10	70	82
u-keto-pika	10	71	82
u-leuk-pik	10	72	82
u-leuk-pika	10	73	82
u-liuska-pika	10	74	82
u-nitr-pika	10	75	82
u-ph-pika	10	76	82
u-prot-pika	10	77	82
ureapika	10	78	82
vb-bepika	10	79	82
vb-ionpak	10	80	82
vb-phpika	10	81	82
vbpco2pika	10	82	82
-ctgcnh,tk	11	1	86
-ctnh,tk	11	2	86
-eryt	11	3	86
-gcnh,tk	11	4	86
-näythem	11	5	86
-näytkäs	11	6	86
-syto	11	7	86
4078u-syto-1	11	8	86
as-eryt	11	9	86
as-syto	11	10	86
b-erybla	11	11	86
b-eryt	11	12	86
b-erytbl	11	13	86
b-erytp	11	14	86
b-hb,tk	11	15	86
b-sopnäyt	11	16	86
b-tnt,tk	11	17	86
bf-syto	11	18	86
crp,tk	11	19	86
e-erybla	11	20	86
e-erytbla	11	21	86
eikäytössä	11	22	86
eryt	11	23	86
ex-syto	11	24	86
ex-syto-1	11	25	86
ex-syto-1c	11	26	86
fd-syto	11	27	86
i-stat-8	11	28	86
i-statcl	11	29	86
i-statcrea	11	30	86
i-statglu	11	31	86
i-stathb	11	32	86
i-stathct	11	33	86
i-statk	11	34	86
i-statna	11	35	86
i-staturea	11	36	86
ikäryhmä	11	37	86
inr,tk	11	38	86
li-eryt	11	39	86
li-eryt-1	11	40	86
li-eryt-3	11	41	86
li-syto	11	42	86
näyte	11	43	86
p-hepnäyt	11	44	86
patonäyte	11	45	86
pd-eryt	11	46	86
pf-eryt	11	47	86
pf-syto	11	48	86
ps-srtep,tk	11	49	86
pt-neunäyt	11	50	86
s-keto,tk	11	51	86
s-statrae	11	52	86
sy-eryt	11	53	86
syto	11	54	86
ts-näytker	11	55	86
ts-sytobl	11	56	86
u-ctgcnh,tk	11	57	86
u-ctnho,tk	11	58	86
u-eryt	11	59	86
u-eryt,tk	11	60	86
u-eryt-0	11	61	86
u-eryt-fk	11	62	86
u-eryt-hy	11	63	86
u-eryt-o	11	64	86
u-eryt-ov	11	65	86
u-eryt-pi	11	66	86
u-eryt.	11	67	86
u-erytdys	11	68	86
u-erytla	11	69	86
u-gcnho,tk	11	70	86
u-keto,tk	11	71	86
u-näytk10	11	72	86
u-näytkäs	11	73	86
u-prot,tk	11	74	86
u-suht-hy	11	75	86
u-suhti	11	76	86
u-suhti-o	11	77	86
u-suhti.	11	78	86
u-suhtih	11	79	86
u-suhtih-o	11	80	86
u-suhtihu	11	81	86
u-suhtiv	11	82	86
u-syto	11	83	86
u-syto-1	11	84	86
ut-syto	11	85	86
verinäyte	11	86	86
(pikacrp)	12	1	135
(pikahb)	12	2	135
-diagn.	12	3	135
-diagn..	12	4	135
-h-ind	12	5	135
-i-ind	12	6	135
-l-ind	12	7	135
-pakfin1	12	8	135
-pakfinag3	12	9	135
-pikacrp	12	10	135
-pr+np	12	11	135
-transf	12	12	135
am-lamel	12	13	135
as-gran	12	14	135
as-prot	12	15	135
b-gran	12	16	135
b-pikacrp	12	17	135
bmind	12	18	135
di-prot	12	19	135
du-prot	12	20	135
du-prot.	12	21	135
du-uraat	12	22	135
f-transfo	12	23	135
fp-alat	12	24	135
fp-aminohh	12	25	135
fp-insu	12	26	135
fp-pepsin1	12	27	135
fp-rauta	12	28	135
fp-renin	12	29	135
fp-renin-p	12	30	135
fp-reninm	12	31	135
fp-transf	12	32	135
fp-uraat	12	33	135
fs-insu	12	34	135
fs-pepsin1	12	35	135
fs-pepsin2	12	36	135
fs-rauta	12	37	135
fs-transf	12	38	135
fvspido	12	39	135
fvspio	12	40	135
fvspird	12	41	135
fvspiro	12	42	135
l-gran	12	43	135
laimtsh	12	44	135
li-gran	12	45	135
li-prot	12	46	135
maito	12	47	135
np-pikcv19	12	48	135
np-pinfrsv	12	49	135
np-pkorsi	12	50	135
np-päivinf	12	51	135
np-päivrsv	12	52	135
np-respiag	12	53	135
p-alat	12	54	135
p-alat.	12	55	135
p-aminoh	12	56	135
p-asat	12	57	135
p-cl:	12	58	135
p-einr	12	59	135
p-fibr	12	60	135
p-fibr.	12	61	135
p-fibrspr	12	62	135
p-il2r	12	63	135
p-il6	12	64	135
p-inr	12	65	135
p-insu	12	66	135
p-ipro	12	67	135
p-laite	12	68	135
p-lam/m	12	69	135
p-proh	12	70	135
p-prop	12	71	135
p-prot	12	72	135
p-protc	12	73	135
p-rasuraat	12	74	135
p-rauta	12	75	135
p-reninm	12	76	135
p-uraat	12	77	135
p-urat	12	78	135
paino	12	79	135
painom	12	80	135
parainf1	12	81	135
parainf2	12	82	135
parainf3	12	83	135
parainf4	12	84	135
